Date,Season ,Team,Opponent,Result,Played,Game_ID,Home ,Points_For,Points_Against,Spread
11/14/21,2021,Long Island City Kitties,Wharton WoW Club ,L,TRUE,56,0,89.84,89.87,-0.03
11/14/21,2021,Hobblin' Goblins,The Frisky Kittens,W,TRUE,57,0,87.42,65.89,21.53
11/14/21,2021,Jackson's Prep School Jailbate,Amit Dubey's Apple Swan Bird,W,TRUE,58,0,106.94,58.04,48.9
11/14/21,2021,"BernardPollard, Licc My Kupp",The Hartford Football Team,W,TRUE,59,0,105.67,78.5,27.17
11/14/21,2021,Wingville Wingdogs,Matty Ice’s Noodle Arm,L,TRUE,60,0,61.81,103.02,-41.21
11/21/21,2021,Wingville Wingdogs,RIP Jeff's Integreity,W,TRUE,61,1,74.08,70.45,3.63
11/21/21,2021,Long Island City Kitties,Bonney Eagle Scots,L,TRUE,62,1,78.47,112.02,-33.55
11/21/21,2021,Jackson's Prep School Jailbate,Wharton WoW Club ,W,TRUE,63,1,149.9,114.49,35.41
11/21/21,2021,Swanky Shells,The Frisky Kittens,L,TRUE,64,1,83.74,115.32,-31.58
11/21/21,2021,"BernardPollard, Licc My Kupp",Amit Dubey's Apple Swan Bird,W,TRUE,65,1,88.37,78.43,9.94
11/21/21,2021,Matty Ice’s Noodle Arm,The Hartford Football Team,L,TRUE,66,1,97.43,110.73,-13.3
11/21/21,2021,RIP Jeff's Integreity,Wingville Wingdogs,L,TRUE,61,0,70.45,74.08,-3.63
11/21/21,2021,Bonney Eagle Scots,Long Island City Kitties,W,TRUE,62,0,112.02,78.47,33.55
11/21/21,2021,Wharton WoW Club ,Jackson's Prep School Jailbate,L,TRUE,63,0,114.49,149.9,-35.41
11/21/21,2021,The Frisky Kittens,Swanky Shells,W,TRUE,64,0,115.32,83.74,31.58
11/21/21,2021,Amit Dubey's Apple Swan Bird,"BernardPollard, Licc My Kupp",L,TRUE,65,0,78.43,88.37,-9.94
11/21/21,2021,The Hartford Football Team,Matty Ice’s Noodle Arm,W,TRUE,66,0,110.73,97.43,13.3
11/28/21,2021,RIP Jeff's Integreity,The Hartford Football Team,TBD,FALSE,67,1,0,0,0
11/28/21,2021,Long Island City Kitties,Jackson's Prep School Jailbate,TBD,FALSE,68,1,0,0,0
11/28/21,2021,Bonney Eagle Scots,Swanky Shells,TBD,FALSE,69,1,0,0,0
11/28/21,2021,Wharton WoW Club ,"BernardPollard, Licc My Kupp",TBD,FALSE,70,1,0,0,0
11/28/21,2021,The Frisky Kittens,Wingville Wingdogs,TBD,FALSE,71,1,0,0,0
11/28/21,2021,Amit Dubey's Apple Swan Bird,Matty Ice’s Noodle Arm,TBD,FALSE,71,1,0,0,0
11/28/21,2021,The Hartford Football Team,RIP Jeff's Integreity,TBD,FALSE,67,0,0,0,0
11/28/21,2021,Jackson's Prep School Jailbate,Long Island City Kitties,TBD,FALSE,68,0,0,0,0
11/28/21,2021,Swanky Shells,Bonney Eagle Scots,TBD,FALSE,69,0,0,0,0
11/28/21,2021,"BernardPollard, Licc My Kupp",Wharton WoW Club ,TBD,FALSE,70,0,0,0,0
11/28/21,2021,Wingville Wingdogs,The Frisky Kittens,TBD,FALSE,71,0,0,0,0
11/28/21,2021,Matty Ice’s Noodle Arm,Amit Dubey's Apple Swan Bird,TBD,FALSE,72,0,0,0,0
,,,,,,,,,,
